datetime temp humidity pressure VOC pm2.5
52-92-00 1f:50:08 27 70.2 834.9 24531.0 17
52-92-00 1f:50:16 27 70.3 834.9 24737.0 10
52-92-00 1f:50:25 27 70.2 834.9 24990.0 15
52-92-00 1f:50:33 27 70.0 835.0 25247.0 17
52-92-00 1f:50:41 27 69.8 835.0 25422.0 12
52-92-00 1f:50:50 27 69.8 835.0 25778.0 12
52-92-00 1f:50:58 27 70.1 835.0 25793.0 17
52-92-00 1f:51:06 27 69.8 835.0 26130.0 17
52-92-00 1f:51:15 27 69.7 835.0 26411.0 7
52-92-00 1f:51:23 27 70.4 835.0 26506.0 32
52-92-00 1f:55:33 27 70.1 1014.1 30758.0 7
52-92-00 1f:55:42 27 70.0 1014.1 9719.0 10
52-92-00 1f:55:50 27 70.1 1014.1 13997.0 10
52-92-00 20:36:34 24 75.3 1015.8 9387.0 5
52-92-00 20:36:42 24 75.3 1015.8 3340.0 5
52-92-00 20:36:51 24 75.2 1015.8 5275.0 5
52-92-00 20:36:59 24 75.2 1015.8 7746.0 7
52-92-00 20:37:07 24 75.3 1015.8 9911.0 7
52-92-00 20:37:16 24 75.3 1015.8 12356.0 5
52-92-00 20:37:24 24 75.3 1015.9 14033.0 5
52-92-00 20:37:33 24 75.3 1015.9 15603.0 5
52-92-00 20:37:41 24 75.3 1015.9 16869.0 5
52-92-00 20:37:49 24 75.3 1015.9 17912.0 7
52-92-00 20:37:58 24 75.3 1015.9 18879.0 5
52-92-00 20:38:06 24 75.3 1015.9 19741.0 7
52-92-00 20:38:14 24 75.2 1015.9 20494.0 5
52-92-00 20:38:23 24 75.2 1015.9 21164.0 5
52-92-00 20:38:31 24 75.2 1015.9 21878.0 15
52-92-00 20:38:39 24 75.1 1015.9 22299.0 10
52-92-00 20:38:48 24 75.1 1015.9 22807.0 5
52-92-00 20:38:56 24 75.0 1015.9 24490.0 5
52-92-00 20:39:04 24 75.0 1015.9 24821.0 5
52-92-00 20:39:13 24 74.9 1015.9 25407.0 5
52-92-00 20:39:21 24 74.9 1015.9 25688.0 10
52-92-00 20:39:30 24 74.8 1015.9 26176.0 5
52-92-00 20:39:38 24 74.8 1015.9 26427.0 7
52-92-00 20:39:46 24 74.7 1015.9 26731.0 5
52-92-00 20:39:55 24 74.7 1015.9 27243.0 10
52-92-00 20:40:03 24 74.6 1015.9 27344.0 5
52-92-00 20:40:11 25 74.5 1015.9 27688.0 10
52-92-00 20:40:20 25 74.5 1015.9 28040.0 5
52-92-00 20:40:28 25 74.4 1015.9 28292.0 5
52-92-00 20:40:37 25 74.4 1015.9 28456.0 7
52-92-00 20:40:45 25 74.3 1015.9 28847.0 12
52-92-00 20:40:53 25 74.2 1015.9 29018.0 15
52-92-00 20:41:02 25 74.2 1015.9 29018.0 12
52-92-00 20:41:10 25 74.1 1015.9 29424.0 20
52-92-00 20:41:19 25 74.0 1015.9 29463.0 5
52-92-00 20:41:27 25 74.0 1015.9 29741.0 7
52-92-00 20:41:35 25 73.9 1015.9 29862.0 12
52-92-00 20:41:44 25 73.9 1015.9 30086.0 7
52-92-00 20:41:52 25 73.8 1015.9 30189.0 32
52-92-00 20:42:00 25 73.7 1015.9 30502.0 5
52-92-00 20:42:09 25 73.7 1015.9 30694.0 22
52-92-00 20:42:17 25 73.6 1015.8 30779.0 7
52-92-00 20:42:26 25 73.6 1015.9 30844.0 5
52-92-00 20:42:34 25 73.5 1015.9 31039.0 5
52-92-00 20:42:42 25 73.4 1015.9 31237.0 12
52-92-00 20:42:51 25 73.4 1015.9 31326.0 12
52-92-00 20:42:59 25 73.3 1015.9 31370.0 5
52-92-00 20:43:07 25 73.3 1015.9 31527.0 7
52-92-00 20:43:16 25 73.2 1015.9 31640.0 5
52-92-00 20:43:24 25 73.2 1015.9 31892.0 5
52-92-00 20:43:33 25 73.1 1015.9 32054.0 5
52-92-00 20:43:41 25 73.1 1015.9 32031.0 10
52-92-00 20:43:49 25 73.0 1015.9 32242.0 5
52-92-00 20:43:58 25 73.0 1015.8 32289.0 15
52-92-00 20:44:06 25 72.9 1015.8 32408.0 5
52-92-00 20:44:14 25 72.9 1015.8 32647.0 7
52-92-00 20:44:23 25 72.8 1015.8 32599.0 10
52-92-00 20:44:31 25 72.8 1015.9 32817.0 10
52-92-00 20:44:39 25 72.7 1015.9 32793.0 10
52-92-00 20:44:48 25 72.7 1015.9 32965.0 7
52-92-00 20:44:56 26 72.7 1015.9 33138.0 20
52-92-00 20:45:04 26 72.6 1015.9 33138.0 7
52-92-00 20:45:13 26 72.6 1015.9 33313.0 7
52-92-00 20:45:21 26 72.5 1015.9 33288.0 5
52-92-00 20:45:30 26 72.5 1015.9 33465.0 10
52-92-00 20:45:38 26 72.4 1015.9 33389.0 10
52-92-00 20:45:46 26 72.4 1015.9 33567.0 5
52-92-00 20:45:55 26 72.3 1015.9 33541.0 5
52-92-00 20:46:03 26 72.3 1015.9 33618.0 5
52-92-00 20:46:11 26 72.2 1015.9 33824.0 5
52-92-00 20:46:20 26 72.2 1015.9 33876.0 7
52-92-00 20:46:28 26 72.2 1015.9 33798.0 15
52-92-00 20:46:36 26 72.1 1015.9 33902.0 5
52-92-00 20:46:45 26 72.1 1015.9 33954.0 5
52-92-00 20:46:53 26 72.0 1015.9 34085.0 10
52-92-00 20:47:02 26 72.0 1015.9 34165.0 15
52-92-00 20:47:10 26 72.0 1015.9 34138.0 15
52-92-00 20:47:18 26 71.9 1015.9 34298.0 5
52-92-00 20:47:27 26 71.9 1015.9 34351.0 7
52-92-00 20:47:35 26 71.9 1015.9 34730.0 5
52-92-00 20:47:44 26 71.8 1015.9 34431.0 10
52-92-00 20:47:52 26 71.8 1015.9 34539.0 7
52-92-00 20:48:01 26 71.8 1015.9 34839.0 5
52-92-00 20:48:09 26 71.7 1015.9 34593.0 15
